track_id,track_artist,artist,track
0,DNA.;Kendrick Lamar,Kendrick Lamar,DNA.
223,Take Me With U;Prince,Prince,Take Me With U
224,Swish Swish;Katy Perry,Katy Perry,Swish Swish
225,Blue Sky;The Allman Brothers Band,The Allman Brothers Band,Blue Sky
226,Running Up That Hill;Kate Bush,Kate Bush,Running Up That Hill
227,Loved by You;Jazmine Sullivan,Jazmine Sullivan,Loved by You
228,Slide;Calvin Harris,Calvin Harris,Slide
229,You Don't Know;Jones,Jones,You Don't Know
230,There for You;Martin Garrix,Martin Garrix,There for You
231,I Do;Jeezy,Jeezy,I Do
232,Please Don't Go;Boyz II Men,Boyz II Men,Please Don't Go
233,I Am;Dio,Dio,I Am
234,Electric Intercourse;Prince,Prince,Electric Intercourse
235,Not Today;BTS,BTS,Not Today
236,Butterfly;BTS,BTS,Butterfly
237,No Longer Friends;Bryson Tiller,Bryson Tiller,No Longer Friends
238,Despacito;Daddy Yankee,Daddy Yankee,Despacito
239,Now and Later;Sage the Gemini,Sage the Gemini,Now and Later
240,Waiting on the World to Change;John Mayer,John Mayer,Waiting on the World to Change
241,Sippin on Some Syrup;Three 6 Mafia,Three 6 Mafia,Sippin on Some Syrup
242,Sweet Creature;Harry Styles,Harry Styles,Sweet Creature
243,What's Going On;Marvin Gaye,Marvin Gaye,What's Going On
244,Don't Like;Chief Keef,Chief Keef,Don't Like
245,Shape of You;Ed Sheeran,Ed Sheeran,Shape of You
246,Get It Together;Drake,Drake,Get It Together
247,Ring My Bell;Anita Ward,Anita Ward,Ring My Bell
248,Around the Way Girl;LL Cool J,LL Cool J,Around the Way Girl
249,Killer;Nipsey Hussle,Nipsey Hussle,Killer
250,Miserable at Best;Mayday Parade,Mayday Parade,Miserable at Best
251,I Won;Kanye West,Kanye West,I Won
252,Make You Feel;Alina Baraz,Alina Baraz,Make You Feel
253,FEEL.;Kendrick Lamar,Kendrick Lamar,FEEL.
254,Myth;Beach House,Beach House,Myth
255,Love Is a Losing Game;Amy Winehouse,Amy Winehouse,Love Is a Losing Game
256,Get Like;Kehlani,Kehlani,Get Like
257,Don't Cry;Son,Son,Don't Cry
258,Fantastic;Prince,Prince,Fantastic
259,Somethin Tells Me;Bryson Tiller,Bryson Tiller,Somethin Tells Me
260,Better Man;Little Big Town,Little Big Town,Better Man
261,Closing Time;Semisonic,Semisonic,Closing Time
262,Santeria;Sublime,Sublime,Santeria
263,Easy;Commodores,Commodores,Easy
264,Dance With Me;112,112,Dance With Me
265,Blessings;Ty Dolla $ign,Ty Dolla $ign,Blessings
266,Life on Mars;David Bowie,David Bowie,Life on Mars
267,Loser;Beck,Beck,Loser
268,Habit;SEVENTEEN,SEVENTEEN,Habit
269,Crush;Yuna,Yuna,Crush
270,Love Galore;Travis Scott,Travis Scott,Love Galore
271,Castle on the Hill;Ed Sheeran,Ed Sheeran,Castle on the Hill
272,Express Yourself;N.W.A,N.W.A,Express Yourself
273,One More Light;Linkin Park,Linkin Park,One More Light
274,Milli;Lil Wayne,Lil Wayne,Milli
275,Elizabeth Reed;The Allman Brothers Band,The Allman Brothers Band,Elizabeth Reed
276,Wipe Me Down;Boosie Badazz,Boosie Badazz,Wipe Me Down
277,My Sweet Lord;George Harrison,George Harrison,My Sweet Lord
278,The Cure;Lady Gaga,Lady Gaga,The Cure
279,"III. Telegraph Ave. (""Oakland"" by Lloyd);Childish Gambino",Childish Gambino,"III. Telegraph Ave. (""Oakland"" by Lloyd)"
280,Trooper;Iron Maiden,Iron Maiden,Trooper
281,Green Onions;Booker T,Booker T,Green Onions
282,You Should Be Here;Kehlani,Kehlani,You Should Be Here
283,New Americana;Halsey,Halsey,New Americana
284,Miss Murder;AFI,AFI,Miss Murder
285,Run Up;Major Lazer,Major Lazer,Run Up
286,All Night;The Vamps,The Vamps,All Night
287,That's What I Like;Bruno Mars,Bruno Mars,That's What I Like
288,Nothing Easy to Please;PARTYNEXTDOOR,PARTYNEXTDOOR,Nothing Easy to Please
289,Crew;Brent Faiyaz,Brent Faiyaz,Crew
290,Gwan Big up Urself;Roy Woods,Roy Woods,Gwan Big up Urself
291,Moonlight;Ariana Grande,Ariana Grande,Moonlight
292,Sweet Harmony;The Beloved,The Beloved,Sweet Harmony
293,Play That Song;Train,Train,Play That Song
294,King;XXXTENTACION,XXXTENTACION,King
